
17095,1535,3467,
16938,1535,3249,
16835,1515,3227,
17063,1534,3360,
16939,1501,3258,
17099,1554,3275,
17000,1512,3326,
17320,1547,3244,
17088,1542,3248,
16984,1533,3269,
17370,1513,3175,
17167,1514,3227,
16908,1469,3266,
16890,1524,3260,
16881,1516,3237,
16998,1531,3225,
16964,1551,3204,
16923,1537,3359,
17044,1519,3256,
16884,1523,3235,
16891,1523,3282,
16931,1502,3234,
17038,1538,3280,
17097,1529,3248,
16871,1509,3307,
16952,1564,3257,
17001,1542,3234,
16855,1526,3238,
17009,1515,3217,
16966,1538,3288,
16949,1509,3252,
16860,1523,3260,
16973,1533,3287,
16980,1526,3254,
17037,1563,3221,
17147,1558,3325,
17046,1520,3247,
16965,1617,3371,
17769,1565,3280,
16905,1549,3233,
16971,1534,3246,
16847,1522,3227,
17060,1625,3409,
16893,1529,3245,
16885,1528,3249,
16950,1511,3250,
17003,1532,3330,
16880,1545,3242,
16983,1509,3210,
16893,1539,3242,
17243,1517,3259,
16893,1535,3243,
16973,1520,3272,
16873,1509,3239,
16981,1525,3242,
17100,1546,3245,
16945,1503,3237,
37602,2008,4553,
16924,1519,3235,
16928,1518,3240,
16898,1541,3273,
17093,1539,3240,
16837,1545,3270,
16856,1502,3251,
17038,1514,3258,
17065,1531,3284,
17058,1650,3194,
16837,1519,3234,
16964,1522,3241,
16943,1542,3237,
16966,1576,3249,
16933,1507,3233,
16893,1542,3278,
17095,1552,3226,
16885,1495,3264,
17016,1514,3276,
17245,1610,3216,
17017,1572,3244,
16903,1540,3215,
17065,1534,3287,
17011,1563,3235,
16886,1515,3248,
17159,1512,3250,
16934,1511,3258,
17094,1518,3380,
16855,1511,3251,
16777,1505,3250,
16929,1510,3271,
16944,1522,3293,
16947,1560,3276,
17287,1590,3234,
17408,1538,3254,
16926,1507,3257,
16932,1596,3309,
16916,1531,3263,
16857,1508,3275,
16963,1552,3235,
17091,1524,3256,
16880,1506,3242,
16999,1554,3259,
17100,1539,3328,
16921,1518,3245,
16830,1547,3220,
16920,1535,3227,
17017,1516,3249,
17893,1530,3386,
16965,1526,3228,
17042,1502,3262,
17563,1497,3245,
16887,1507,3252,
16867,1514,3231,
16902,1531,3254,
16958,1523,3242,
17289,1575,3312,
16943,1512,3233,
17076,1511,3352,
17443,1519,3327,
16910,1542,3260,
16997,1531,3300,
16977,1527,3231,
16834,1508,3284,
16947,1509,3341,
16876,1508,3307,
16854,1518,3238,
16916,1537,3207,
16961,1521,3202,
16836,1504,3213,
16953,1500,3285,
16866,1534,3208,
17212,1541,3151,
16881,1500,3220,
17153,1530,3150,
16982,1514,3287,
16976,1513,3237,
16901,1569,3240,
17299,1547,3278,
17011,1538,3262,
16860,1528,3264,
16853,1508,3214,
16863,1498,3232,
16922,1554,3261,
17288,1616,3398,
16877,1534,3244,
17144,1524,3218,
17056,1520,3221,
16892,1501,3187,
16973,1533,3249,
17036,1531,3258,
17124,1574,3269,
17263,1583,3220,
16947,1525,3259,
16918,1530,3230,
16904,1496,3242,
16922,1524,3271,
39408,1522,3204,
17301,1582,3320,
16999,1512,3201,
16981,1510,3297,
17046,1550,3247,
17629,1531,3259,
