
17107,1566,3699,
16973,1498,3426,
17043,1575,3314,
17024,1507,3405,
17084,1503,3447,
17064,1527,3500,
17164,1514,3447,
16996,1533,3355,
17088,1642,3545,
17123,1536,3432,
17486,1508,3483,
17167,1549,3437,
17416,1566,3366,
17075,1528,3524,
17108,1521,3448,
17325,1689,3447,
17134,1493,3335,
16956,1531,3439,
16960,1528,3336,
17122,1518,3414,
16978,1541,3339,
17484,1535,3443,
17236,1521,3380,
17024,1534,3505,
16983,1494,3328,
17496,1522,3291,
17203,1578,3453,
17341,1523,3427,
17085,1512,3571,
17002,1499,3356,
17626,1601,3461,
17228,1577,3509,
17042,1518,3401,
17009,1502,3474,
17006,1493,3490,
17068,1536,3409,
17102,1513,3401,
17048,1554,3460,
17061,1554,3441,
17275,1507,3484,
17028,1496,3410,
17000,1516,3422,
17073,1534,3349,
17195,1544,3518,
17270,1661,3401,
16919,1528,3434,
17134,1522,3336,
16996,1527,3315,
16947,1537,3484,
17012,1511,3327,
16880,1523,3327,
16916,1515,3471,
17091,1502,3406,
16980,1521,3384,
17073,1529,3421,
17245,1552,3315,
16877,1520,3371,
17002,1497,3430,
16989,1500,3358,
16930,1589,3297,
16988,1518,3495,
17036,1573,3432,
17062,1519,3444,
16957,1540,3403,
17089,1549,3422,
16926,1502,3489,
17294,1530,3483,
16911,1526,3324,
16946,1531,3351,
16889,1546,3487,
16920,1519,3401,
16977,1530,3344,
16997,1524,3592,
16965,1524,3357,
17372,1566,3373,
17515,1561,3462,
17187,1547,3367,
16956,1515,3370,
17091,1529,3401,
16925,1524,3344,
16906,1516,3597,
16872,1506,3468,
16970,1473,3369,
17199,1552,3348,
17001,1507,3404,
17052,1535,3582,
16916,1542,3344,
17078,1532,3346,
17449,1543,3417,
17107,1542,3403,
17206,1575,3446,
17066,1527,3442,
17043,1544,3395,
16850,1522,3410,
17009,1539,4688,
16989,1535,3396,
16958,1529,3408,
16939,1510,3400,
16968,1542,3357,
16837,1519,3420,
17590,1531,3409,
17007,1521,3407,
16923,1528,3479,
16970,1518,3349,
16875,1531,3479,
17014,1520,3433,
17139,1511,3413,
16965,1526,3392,
16992,1530,3567,
17571,1577,3422,
